,Field 1,Field 2,Value,country
18,Employment Rate (no unit),Poverty rate (no unit),-0.57,CHL
19,Employment Rate (no unit),GDP per hours worked (USD/hour),0.37,CHL
20,Employment Rate (no unit),Income Inequality (no unit),-0.87,CHL
21,Employment Rate (no unit),Employment Rate (no unit),1.0,CHL
22,Employment Rate (no unit),Hours worked per year (hours/year),-0.51,CHL
23,Employment Rate (no unit),Average Wage (USD),0.87,CHL
24,Hours worked per year (hours/year),Poverty rate (no unit),0.82,CHL
25,Hours worked per year (hours/year),GDP per hours worked (USD/hour),-0.98,CHL
26,Hours worked per year (hours/year),Income Inequality (no unit),0.88,CHL
27,Hours worked per year (hours/year),Employment Rate (no unit),-0.51,CHL
28,Hours worked per year (hours/year),Hours worked per year (hours/year),1.0,CHL
29,Hours worked per year (hours/year),Average Wage (USD),-0.93,CHL
30,Average Wage (USD),Poverty rate (no unit),-0.69,CHL
31,Average Wage (USD),GDP per hours worked (USD/hour),0.89,CHL
32,Average Wage (USD),Income Inequality (no unit),-0.91,CHL
33,Average Wage (USD),Employment Rate (no unit),0.87,CHL
34,Average Wage (USD),Hours worked per year (hours/year),-0.93,CHL
35,Average Wage (USD),Average Wage (USD),1.0,CHL
